Tweet Text,Location,Sentiment Polarity
"RT @HumbleTeej: So this nigga stole a BMW, avoided cops, got arrested at the White House and got his guns taken away, got the guns back, to…",pa,-0.079175589
RT @shannonrwatts: Of course he is... These guns aren’t going to sell themselves!!! https://t.co/4KARph9Eu3,ca,0.299211781
RT @bulldoghill: The legislation includes a ban on bump stocks and other similar devices. Another bill expands law enforcement’s ability to…,al,0.184998393
"RT @MsLisaHendricks: LOCK THEM UP! Your guns, that is.

The BeSMART program raises awareness of responsible gun storage to prevent unintent…",tx,0.226325427
"AK 15??? And you call yourself a ""teacher""??? 🤣🤣🤣 no wonder our public school system is an utter failure. You're th… https://t.co/FSM2vU0uqO",ca,-0.747329848
"Left's knee-jerk reaction to Waffle House killings runs counter to facts

https://t.co/Sv22LtG36Z",ny,-0.371263916
"RT @shannonrwatts: Also, According to Harvard University study, people defended themselves with a gun in only 0.9% of crimes from 2007 to 2…",ca,0.342535049
"RT @IGD_News: ""Militarization of space, suppression of crowds. Checkpoints, tanks, and guns. The demonizing of all who seek to resist. Thes…",az,0.146739551
"RT @MsLisaHendricks: LOCK THEM UP! Your guns, that is.

The BeSMART program raises awareness of responsible gun storage to prevent unintent…",in,0.226325427
@sxdoc @GaetaSusan 🇺🇸🇺🇸Don’t ever give up your guns🇺🇸,tn,0.456241636
"@TaveresQuixote @ABC I don't know the guy's citizenship status, but the availability of guns in Texas is part of the problem.",az,0.184998393
RT @KyleKashuv: When will he realize this overstepped his bounds quite a substantial amount? American History teacher without valuing the C…,tx,0.062126828
"RT @GunSenseMO_Mom: An armed man fires on a Kansas City crew of utility workers working near downtown KC, killing one. MO is awash in guns…",fl,-0.550656258
"RT @sxdoc: Gun Control? You’ve heard of Hitler, Mao, &amp; Stalin who took guns away before millions of citizens were murdered. US History: Lak…",tn,0.184998393
@Boo4Change @jwdubay @HoodSocialist Or angry white people with guns,tn,0.060403798
@Thomas1774Paine The Left will only be completely satisfied when they confiscate ALL guns from every American...,ca,0.063849913
RT @Cook4USHouse: I believe We the People have spoken and we want our guns and our gun rights upheld #AMERICAFIRST #Grassroots candidates a…,co,0.224620911
"RT @Khanoisseur: French ornithologist Christian Moullec has spent years training birds to follow him in in his microlight, to show them mig…",ma,0.062126867
"RT @charliekirk11: Liberals hate walls yet live in gated communities 

Liberals hate guns yet walk around with armed guards 

Liberals hate…",la,-0.491227482
As a blah blah blah.Nobody cares dude. @benshapiro once said that if you’re going to be arguing from an authoritati… https://t.co/AFB4hf4wBE,tx,-0.372494288
"RT @IGD_News: ""Militarization of space, suppression of crowds. Checkpoints, tanks, and guns. The demonizing of all who seek to resist. Thes…",md,0.146739551
"RT @prayingmedic: 18) #Qanon said the order of removing CIA influence is important.
Saudia Arabia first. 
(They funded the CIA.)
Then North…",pa,0.08064889
"RT @shannonrwatts: Also, According to Harvard University study, people defended themselves with a gun in only 0.9% of crimes from 2007 to 2…",ky,0.342535049
"RT @TheMarkPantano: There are more than 300 MILLION guns in the United States.

If guns were the problem, there would be a hell of a lot mo…",fl,0.307108828
"If you are convicted of a crime, then your rights as a gun owner should be deprived. This nonsense where officials… https://t.co/I6kinW6LPk",ny,-0.803715798
Soper's petition would prevent police from enforcing state &amp; federal laws regarding guns. What other laws will Sope… https://t.co/jYQ9w5eopQ,or,-0.348069032
“You got kobe bryant “ 😂😂😂 https://t.co/ORIwYHflCX,va,-0.646593807
"Please don’t at me with drugs and guns in the background, that’s some monkey ish yo, I ain’t on that. But you gone… https://t.co/hVRbr1UI7v",tx,-0.804333671
"RT @TheMarkPantano: There are more than 300 MILLION guns in the United States.

If guns were the problem, there would be a hell of a lot mo…",co,0.307108828
"RT @GavinNewsom: 96 Americans are killed every day by guns. This is a crisis. And rather than attempting to solve the issue, our leaders ar…",ny,-0.079175589
'A better conversation on guns': Seemingly opposed student orgs sit down for a civil debate https://t.co/UKMuFMSFp6 https://t.co/Q7vEmTTFBy,ky,-0.747329848
@_SierraWhiskee @Hoosiers1986 @CB618444 @GrizzleMeister @PhilMcCrackin44 @RealEagleWings @ChristineMAGAMD… https://t.co/Ol1omvoTmC,mi,-0.341166196
And that’s a bad thing? Do you not know that the most recent mass shooter was NOT allowed to own guns at all? His g… https://t.co/p3Nwx80i2L,ms,-0.689352785
RT @bobpockrass: NASCAR will start requiring teams to use nitrogen in the NASCAR-issued pit guns starting this weekend at Talladega. The ai…,va,0.222913653
"#guns #2A Federal Grand Jury Indicts Five of Illegal Waterfowl Hunting – Outdoor News Daily: PEORIA, IL – Five men… https://t.co/0mnvHKwPSA",mt,-0.586835746
"RT @KyleKashuv: Mr. Pittman, it was an illegal and unconstitutional detainment. See U.S. Code § 1983 and JDB v. North Carolina 

1) the der…",tx,-0.102927619
RT @Alyssa_Milano: The 4th graders who were in Sandy Hook Elementary School when the 1st graders and their educators were being gunned down…,il,-0.722930977
@lawhern1 @TheATIPUSA @AllenFrancesMD @tal7291 @allison_maass @Mjbmd58 @ChadDKollas @ZypCzyk @KentSmalley… https://t.co/i9rW6rHtMW,in,-0.790804957
"RT @CollinRugg: If there’s one thing that every mass shooter has in common, it is that he or she is always known by the FBI.

Maybe it’s no…",ca,-0.411695166
ROfLMAO good one https://t.co/XIqI2fQ0Rf,wa,-0.250643261
"RT @TheMarkPantano: There are more than 300 MILLION guns in the United States.

If guns were the problem, there would be a hell of a lot mo…",il,0.307108828
@seanhannity @SebGorka @dbongino Guns used in cross-border crimes originate from states with more lax laws https://t.co/FN80Q8kluR,wa,-0.262318221
"@tazmewin @TexBrussow @davidhogg111 @realDonaldTrump @NRA My statement stands. Drama queen. No facts, no relevant d… https://t.co/mFKeH4r91K",ca,0.165988895
"RT @CollinRugg: If there’s one thing that every mass shooter has in common, it is that he or she is always known by the FBI.

Maybe it’s no…",ak,-0.411695166
"RT @KyleKashuv: Mr. Pittman, it was an illegal and unconstitutional detainment. See U.S. Code § 1983 and JDB v. North Carolina 

1) the der…",fl,-0.102927619
@Rhilmoe89 @LShrug @WITACBodyArmor @CharismaMolotov @lithiumkelly @Ofthewinds40 @indie_rock79 @DCraelin @TxAv8r… https://t.co/NPZdXCoWFR,ks,-0.334921095
"RT @Khanoisseur: To put this in perspective, more Americans die each year from exposure to secondhand cigarette smoke than are killed by gu…",fl,0.201440057
"RT @hrenee80: I don’t let overweight people, tell me how to manage my weight

I don’t let broke people, tell me how to manage my money

I d…",tx,-0.153421
"RT @MsLisaHendricks: LOCK THEM UP! Your guns, that is.

The BeSMART program raises awareness of responsible gun storage to prevent unintent…",ca,0.226325427
