State,Sentiment Polarity,Number of Tweets
al,-0.14809862057587564,257
ak,-0.19883424301111113,90
az,-0.14012011512666664,600
ar,-0.1710277521776316,152
ca,-0.13229928101674263,2628
co,-0.15757312837258347,569
ct,-0.15558575390625026,224
de,-0.10954582645762716,118
fl,-0.1352021745343976,1817
ga,-0.16521281641029192,719
hi,-0.22612629935714282,70
id,-0.21573613990721643,97
il,-0.13383243930874988,800
in,-0.15633242830333388,900
ia,-0.1916278670220589,136
ks,-0.1372662155144508,173
ky,-0.1746009804016737,239
la,-0.14362916998412675,378
me,-0.0908017415165563,151
md,-0.13073893874803147,381
ma,-0.11095225542643922,469
mi,-0.11766321701518023,527
mn,-0.16364675623929473,397
ms,-0.19400036031914902,94
mo,-0.14971303306024084,332
mt,-0.1734204370394736,76
ne,-0.17640185294623661,93
nv,-0.13498207421739133,253
nh,-0.06625523546428573,28
nj,-0.07366757952488691,221
nm,-0.13050909684810127,79
ny,-0.1592871568034012,941
nc,-0.13018403451343283,335
nd,-0.09858434147058823,17
oh,-0.1505943088781164,722
ok,-0.14727075990983624,244
or,-0.15317192045315883,459
pa,-0.118675749641854,712
ri,-0.10806036305405409,37
sc,-0.12342424481935492,155
sd,-0.15695822674999999,20
tn,-0.12726926288913046,460
tx,-0.14585571196531263,2018
ut,-0.20337851904545456,132
vt,-0.15499098658823535,34
va,-0.1622417494188744,604
wa,-0.13834947696777664,931
wv,-0.198083204525,40
wi,-0.09479547452961681,287
wy,-0.14721313427906974,43
